"","Frog_NF50|AER","Frog_NF50|BasalEctoderm","Frog_NF51|AER","Frog_NF51|BasalEctoderm","Frog_NF52|AER","Frog_NF52|BasalEctoderm","Frog_NF54|AER","Frog_NF54|BasalEctoderm","Axolotl_ST50|AER","Axolotl_ST50|BasalEctoderm","Axolotl_ST52|AER","Axolotl_ST52|BasalEctoderm","Axolotl_ST54|AER","Axolotl_ST54|BasalEctoderm","Mouse_E105|AER","Mouse_E105|BasalEctoderm","Mouse_E115|AER","Mouse_E115|BasalEctoderm","Mouse_E125|AER","Mouse_E125|BasalEctoderm","Mouse_E95|AER","Mouse_E95|BasalEctoderm","Human_CS13|AER","Human_CS13|BasalEctoderm","Chicken_E45|AER","Chicken_E45|BasalEctoderm"
"Frog_NF50|AER",0.99428245874621,0.00571754125378962,0.992180886915133,0.00781911308486682,0.990311322227584,0.00968867777241615,0.951361390392452,0.0486386096075476,0.954829673958003,0.0451703260419967,0.925531111143709,0.0744688888562914,0.893486015019967,0.106513984980033,0.93673349565815,0.0632665043418498,0.909969414416848,0.0900305855831521,0.887540819420058,0.112459180579941,0.851277892005708,0.148722107994291,0.819239900758001,0.180760099241999,0.864352418095141,0.135647581904859
"Frog_NF50|BasalEctoderm",0.00571754125378962,0.99428245874621,0.00781911308486673,0.992180886915133,0.0096886777724162,0.990311322227584,0.0486386096075477,0.951361390392452,0.0451703260419968,0.954829673958003,0.0744688888562915,0.925531111143709,0.106513984980033,0.893486015019967,0.0632665043418497,0.93673349565815,0.090030585583152,0.909969414416848,0.112459180579941,0.887540819420058,0.148722107994291,0.851277892005708,0.180760099241999,0.819239900758,0.135647581904859,0.864352418095141
"Frog_NF51|AER",0.992180886915133,0.00781911308486673,0.998379749213356,0.00162025078664347,0.992886471585942,0.00711352841405764,0.966482713057078,0.0335172869429223,0.966463009117872,0.0335369908821279,0.936028740738682,0.0639712592613179,0.922906886567477,0.0770931134325231,0.950517487728979,0.0494825122710209,0.92452304568744,0.07547695431256,0.916948027025485,0.0830519729745151,0.866482410722302,0.133517589277698,0.820240171569759,0.179759828430241,0.906748985721198,0.0932510142788019
"Frog_NF51|BasalEctoderm",0.00781911308486682,0.992180886915133,0.00162025078664347,0.998379749213357,0.00711352841405758,0.992886471585942,0.0335172869429222,0.966482713057078,0.0335369908821278,0.966463009117872,0.0639712592613178,0.936028740738682,0.0770931134325232,0.922906886567477,0.0494825122710209,0.950517487728979,0.07547695431256,0.92452304568744,0.0830519729745151,0.916948027025485,0.133517589277698,0.866482410722302,0.179759828430241,0.820240171569759,0.0932510142788019,0.906748985721198
"Frog_NF52|AER",0.990311322227584,0.0096886777724162,0.992886471585942,0.00711352841405758,0.998258797653959,0.00174120234604115,0.968663718740492,0.0313362812595081,0.921633661641963,0.0783663383580366,0.934005685579149,0.0659943144208511,0.928440818985421,0.0715591810145787,0.936176401523464,0.0638235984765363,0.947704836181616,0.0522951638183841,0.933405059553906,0.0665949404460946,0.83348879031398,0.16651120968602,0.860584088179982,0.139415911820018,0.867348316565458,0.132651683434542
"Frog_NF52|BasalEctoderm",0.00968867777241615,0.990311322227584,0.00711352841405764,0.992886471585942,0.00174120234604115,0.998258797653959,0.0313362812595081,0.968663718740492,0.0783663383580366,0.921633661641963,0.0659943144208512,0.934005685579149,0.0715591810145789,0.928440818985421,0.0638235984765364,0.936176401523464,0.052295163818384,0.947704836181616,0.0665949404460945,0.933405059553906,0.16651120968602,0.83348879031398,0.139415911820018,0.860584088179982,0.132651683434542,0.867348316565458
"Frog_NF54|AER",0.951361390392452,0.0486386096075477,0.966482713057078,0.0335172869429222,0.968663718740492,0.0313362812595081,0.999018886436105,0.000981113563895009,0.817389985679818,0.182610014320182,0.8735207141364,0.1264792858636,0.821953218539034,0.178046781460966,0.893375981739274,0.106624018260726,0.903194494285497,0.0968055057145032,0.888542148944067,0.111457851055933,0.766212513193425,0.233787486806575,0.803365384778637,0.196634615221363,0.856703004258309,0.143296995741691
"Frog_NF54|BasalEctoderm",0.0486386096075476,0.951361390392452,0.0335172869429223,0.966482713057078,0.0313362812595081,0.968663718740492,0.000981113563895009,0.999018886436105,0.182610014320182,0.817389985679818,0.1264792858636,0.8735207141364,0.178046781460966,0.821953218539033,0.106624018260726,0.893375981739274,0.0968055057145032,0.903194494285497,0.111457851055933,0.888542148944067,0.233787486806575,0.766212513193425,0.196634615221363,0.803365384778637,0.143296995741691,0.856703004258309
"Axolotl_ST50|AER",0.954829673958003,0.0451703260419968,0.966463009117872,0.0335369908821278,0.921633661641963,0.0783663383580366,0.817389985679818,0.182610014320182,1,0,0.988488028159711,0.0115119718402891,0.980010362814405,0.0199896371855953,0.872104711348409,0.127895288651591,0.881365085219041,0.118634914780959,0.867741183765524,0.132258816234475,0.747759647759648,0.252240352240352,0.712337398840833,0.287662601159167,0.820607904087253,0.179392095912747
"Axolotl_ST50|BasalEctoderm",0.0451703260419967,0.954829673958003,0.0335369908821279,0.966463009117872,0.0783663383580366,0.921633661641963,0.182610014320182,0.817389985679818,0,1,0.0115119718402893,0.988488028159711,0.0199896371855955,0.980010362814405,0.127895288651591,0.872104711348409,0.118634914780959,0.881365085219041,0.132258816234476,0.867741183765524,0.252240352240352,0.747759647759648,0.287662601159167,0.712337398840833,0.179392095912747,0.820607904087253
