p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
1.30161120951504e-161	1.06518658348035	0.792	0.195	1.28976654750845e-156	FREM2
6.93423718206955e-156	0.718404015173211	0.783	0.188	6.87113562371272e-151	LAMA5
1.96563898409805e-119	0.351082000414289	0.316	0.023	1.94775166934276e-114	AMEX60DD102044091.5
4.09413423216369e-117	0.360795702865024	0.247	0.011	4.056877610651e-112	FGL2.1
8.75984158110409e-113	1.0436315999109	0.756	0.236	8.68012702271604e-108	FN1
1.2953009782774e-109	0.292351155930751	0.325	0.028	1.28351373937508e-104	LOC115458069
4.51840646251793e-108	0.884036775869407	0.955	0.628	4.47728896370901e-103	AMEX60DD201005267.9
4.58882184211597e-106	0.803652819546259	0.904	0.412	4.54706356335271e-101	TNC.1
6.72868689295527e-77	0.330999009099525	0.422	0.089	6.66745584222937e-72	WNT5A
1.74703870863697e-74	0.648512130112815	0.84	0.453	1.73114065638837e-69	FBN2
3.8165126203124e-74	0.460292269074234	1	0.968	3.78178235546756e-69	CRIP1
1.2383040571353e-73	0.388151554614751	0.979	0.896	1.22703549021537e-68	TPM4.1
1.17083379338088e-72	0.536560303693677	0.63	0.202	1.16017920586111e-67	PALLD.2
1.31284970877567e-69	0.396357767347233	0.509	0.144	1.30090277642581e-64	VCAN
1.73758108955281e-67	0.58812597020234	0.521	0.155	1.72176910163788e-62	SLC7A8
6.48396256921634e-67	0.263393300144491	0.334	0.061	6.42495850983647e-62	LAMA1
7.44430545162999e-65	0.341780272762128	0.449	0.105	7.37656227202015e-60	SALL4
7.5450526127272e-64	0.318402595349791	0.268	0.038	7.47639263395138e-59	TGFBI
5.82712598797945e-63	0.444230041756434	0.575	0.203	5.77409914148884e-58	LOC115080956
3.27321965399055e-61	0.546983142805783	0.413	0.103	3.24343335513923e-56	MMP13.1
1.38384674015467e-58	0.272687066644992	0.211	0.025	1.37125373481927e-53	AMEX60DD201044102.2
2.64084790477933e-57	0.443027666341096	0.581	0.222	2.61681618884584e-52	LAMB1
1.39675739690139e-56	0.276829613054831	0.389	0.093	1.38404690458958e-51	FILIP1L
4.71208512193412e-55	0.294808811025569	0.319	0.065	4.66920514732452e-50	ANGPTL2.1
1.01233230786349e-52	0.491114606746357	0.38	0.094	1.00312008386193e-47	AMEX60DD201044101.3
6.64391413150376e-52	0.291728282564123	0.407	0.111	6.58345451290708e-47	PRDM1.1
3.80189489151148e-50	0.424573930462824	0.395	0.11	3.76729764799873e-45	KRT12.8
1.33107457486939e-48	0.428141512519045	0.446	0.15	1.31896179623808e-43	MSX2
7.87675633365852e-48	0.301931930256304	0.325	0.075	7.80507785102223e-43	AMEX60DDU001002710.10
1.25264822470239e-47	0.430282851770172	0.958	0.807	1.24124912585759e-42	AMEX60DD102046943.6
1.11618667578003e-45	0.257615458258229	0.301	0.071	1.10602937703043e-40	MSANTD3-TMEFF1
3.20360467467325e-44	0.256075672611831	0.34	0.093	3.17445187213372e-39	BHLHA9
1.25308348664412e-43	0.491052377114818	0.985	0.816	1.24168042691566e-38	KRT17
1.4886705381179e-43	0.581837994011871	0.479	0.185	1.47512363622103e-38	HBG1
5.47876772161316e-42	0.343246488485558	0.645	0.313	5.42891093534648e-37	DMD.3
7.52302663571991e-42	0.263746728701206	0.467	0.168	7.45456709333486e-37	SULF1
3.62072345721592e-41	0.419120740377142	0.901	0.664	3.58777487375525e-36	AMEX60DD201012285.3
1.40237663201879e-40	0.607591942525975	0.473	0.192	1.38961500466742e-35	HBD
1.45969237491331e-39	0.296951997147223	0.521	0.207	1.4464091743016e-34	MGAT1
4.69916724634658e-39	0.297890367233207	0.473	0.186	4.65640482440483e-34	PFN2
6.22725105459979e-38	0.320117881273304	0.566	0.267	6.17058307000293e-33	FRAS1
8.04249912234454e-38	0.569475158447909	0.482	0.208	7.96931238033121e-33	HB-AM
2.13891102463295e-37	0.546290837989108	0.497	0.216	2.11944693430879e-32	GLNC1
1.56931670546498e-36	0.390151757948075	0.81	0.503	1.55503592344525e-31	WLS
9.31034357462281e-36	0.31308055686381	0.861	0.598	9.22561944809374e-31	FKBP1B
1.74105486471609e-35	0.455908303399873	0.551	0.286	1.72521126544717e-30	VWA2
2.06642021913536e-35	0.354840076206978	0.602	0.302	2.04761579514123e-30	CTSK
3.62147393460414e-35	0.432387044160518	0.795	0.495	3.58851852179924e-30	LOC115481896
3.99930932105545e-34	0.66657088873716	0.756	0.536	3.96291560623384e-29	COL3A1
2.64880651221493e-33	0.271401859998818	0.494	0.22	2.62470237295378e-28	PXDN.1
7.99896278099472e-32	0.456850178629227	0.386	0.157	7.92617221968766e-27	DR999-PMT21178.1
9.33405303485983e-31	0.250660137221331	0.16	0.029	9.2491131522426e-26	KRT5.5
1.73485791455774e-29	0.383605566175211	0.702	0.437	1.71907070753527e-24	RFLNA
2.55824801965598e-29	0.29423038759774	0.373	0.156	2.53496796267711e-24	HPGD
4.48039757628448e-29	0.299368820436362	0.87	0.648	4.43962595834029e-24	BCAM
2.31057420520488e-28	0.39100980926891	0.443	0.196	2.28954797993752e-23	KRT19.1
2.21474993464039e-27	0.315126448572167	0.367	0.156	2.19459571023517e-22	UNC5B
4.1076496013446e-27	0.450010493970564	0.672	0.449	4.07026998997236e-22	HBG2.3
1.2398103475921e-26	0.302553434353982	0.723	0.467	1.22852807342901e-21	PCSK5.1
4.76410716895043e-25	0.397284115918132	0.795	0.591	4.72075379371298e-20	VIM
2.82818337156145e-24	0.259844011553149	0.735	0.493	2.80244690288024e-19	KCNE5
5.01108547462066e-24	0.264720001430384	0.816	0.561	4.96548459680161e-19	DAG1
1.59871159431472e-23	0.264906543495825	0.922	0.751	1.58416331880646e-18	TUBA1C.1
2.94651294556318e-23	0.259107395318747	0.566	0.327	2.91969967775855e-18	DLX5
5.39274389876002e-23	0.327682864516989	0.651	0.413	5.34366992928131e-18	CRABP2
5.62182830868528e-23	0.429783399342379	0.464	0.244	5.57066967107624e-18	RPL21.1
1.1328015382521e-22	0.322519262250977	0.783	0.554	1.12249304425401e-17	HBZ.1
1.1845727065435e-22	0.251284570051922	0.599	0.347	1.17379309491396e-17	MMP14
2.14882212958021e-22	0.384973385202325	0.693	0.413	2.12926784820103e-17	MMP1
3.6441157566246e-22	0.272400108068545	0.705	0.468	3.61095430323932e-17	LAMC1
3.68326414253586e-22	0.301669544399788	0.666	0.478	3.64974643883878e-17	GSN
5.37907572357899e-22	0.288230243943951	0.771	0.583	5.33012613449442e-17	CNN2
1.09187613391828e-21	0.341670950026832	0.642	0.389	1.08194006109963e-16	AMEX60DD301029362.3
5.53983991669153e-20	0.288979094390274	0.892	0.741	5.48942737344964e-15	ECM1
8.79988355423602e-20	0.288104680130015	0.877	0.713	8.71980461389247e-15	TIMP1
4.35695916321338e-19	0.267695387432676	0.663	0.441	4.31731083482814e-14	SOCS1
1.6117494095859e-18	0.268425238600381	0.762	0.576	1.59708248995866e-13	RHOB
7.50793873852846e-18	0.308149096488609	0.572	0.361	7.43961649600785e-13	SERPINE1
1.18101601271949e-17	0.317839915309475	0.741	0.593	1.17026876700374e-12	ASS1.1
4.78212197114994e-17	0.250791912744401	0.831	0.65	4.73860466121248e-12	LRRN4CL
2.45260054571199e-16	0.262674151708766	0.741	0.556	2.43028188074601e-11	IFITM5
3.81788803519163e-16	0.254777764283004	0.527	0.324	3.78314525407139e-11	KRT18
