p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
CIRBP.1	0	1.92593863022515	1	0.031	0	CIRBP.1	AER
JUND	0	1.5765008682098	0.994	0.02	0	JUND	AER
HNRNPK.1	0	1.22182816516145	0.994	0.014	0	HNRNPK.1	AER
AMEX60DD201032402.1	0	1.61687144733304	0.924	0.001	0	AMEX60DD201032402.1	AER
SF3B5	0	0.901966929203618	0.917	0.002	0	SF3B5	AER
RPS8.2	0	1.89764439382657	0.994	0.003	0	RPS8.2	AER
RPL21.3	0	0.90054686408542	0.911	0.011	0	RPL21.3	AER
RPL37.4	0	0.872306851478996	0.866	0.005	0	RPL37.4	AER
AMEX60DDU001030970.1	0	1.21152295946115	0.994	0.003	0	AMEX60DDU001030970.1	AER
LOC115558530	0	2.11660580438615	1	0	0	LOC115558530	AER
AMEX60DDU001002625.1	0	0.889584358626546	0.892	0.001	0	AMEX60DDU001002625.1	AER
LOC112545658.18	0	0.901563158490567	0.879	0	0	LOC112545658.18	AER
PDLIM2.1	0	1.60586175585006	1	0.004	0	PDLIM2.1	AER
AMEX60DDU001010162.1	0	0.8381777638305	0.86	0	0	AMEX60DDU001010162.1	AER
AMEX60DDU001038147.2	0	1.39909308323135	0.981	0	0	AMEX60DDU001038147.2	AER
AMEX60DDU001040814.1	0	1.63665464502746	0.994	0.017	0	AMEX60DDU001040814.1	AER
AMEX60DDU001029667.1	0	0.827318925036688	0.796	0	0	AMEX60DDU001029667.1	AER
AMEX60DDU001029865.2	0	1.30764383474576	0.987	0.001	0	AMEX60DDU001029865.2	AER
AMEX60DDU001015379.1	0	2.27838966367831	1	0	0	AMEX60DDU001015379.1	AER
NAG13.13	0	1.05702165617551	0.898	0.001	0	NAG13.13	AER
LOC101944505.15	0	0.985716200276804	0.943	0.004	0	LOC101944505.15	AER
AMEX60DDU001032611.1	0	0.855535978714537	0.904	0	0	AMEX60DDU001032611.1	AER
AMEX60DDU001038611.1	0	0.818918988726706	0.885	0	0	AMEX60DDU001038611.1	AER
AMEX60DDU001002177.1	0	1.55244745097122	0.994	0.027	0	AMEX60DDU001002177.1	AER
AMEX60DDU001005067.1	0	1.10430064433202	0.962	0	0	AMEX60DDU001005067.1	AER
AMEX60DDU001005147.1	0	1.0332148286389	0.93	0	0	AMEX60DDU001005147.1	AER
LOC115401458.13	0	0.871870309167197	0.892	0	0	LOC115401458.13	AER
AMEX60DDU001010617.1	0	1.60506539573991	0.994	0	0	AMEX60DDU001010617.1	AER
LOC102461666.134	0	2.18419738709018	1	0	0	LOC102461666.134	AER
AMEX60DDU001025895.1	0	0.768391883476065	0.854	0	0	AMEX60DDU001025895.1	AER
AMEX60DDU001032793.1	0	2.23347747781789	1	0	0	AMEX60DDU001032793.1	AER
AMEX60DDU001038152.1	0	1.07700338714883	0.968	0.003	0	AMEX60DDU001038152.1	AER
AMEX60DDU001011875.1	0	1.53100236773604	0.981	0.004	0	AMEX60DDU001011875.1	AER
AMEX60DDU001016870.1	0	0.732215179709784	0.815	0.001	0	AMEX60DDU001016870.1	AER
AMEX60DDU001017089.1	0	1.22596785278484	0.994	0	0	AMEX60DDU001017089.1	AER
AMEX60DDU001008124.1	0	1.4571974056761	0.994	0	0	AMEX60DDU001008124.1	AER
AMEX60DDU001038131.2	0	2.19959085523294	1	0	0	AMEX60DDU001038131.2	AER
AMEX60DDU001016575.1	0	1.08808119782293	0.955	0.002	0	AMEX60DDU001016575.1	AER
LOC112543511.193	0	1.52731139636565	1	0	0	LOC112543511.193	AER
AMEX60DDU001010420.1	0	1.37932163892585	0.975	0.013	0	AMEX60DDU001010420.1	AER
AMEX60DDU001035152.1	0	1.4164000571981	0.975	0.001	0	AMEX60DDU001035152.1	AER
eGFP	0	1.58210518769397	0.911	0	0	eGFP	AER
LOC100158321	3.30888806924045e-302	0.655187332162561	0.783	0.001	3.27877718781036e-297	LOC100158321	AER
RPSA.2	4.95405337375771e-302	0.690205738273851	0.841	0.007	4.90897148805651e-297	RPSA.2	AER
AMEX60DD301015190.1	3.5348977237775e-301	0.81243423274726	0.809	0.004	3.50273015449112e-296	AMEX60DD301015190.1	AER
AMEX60DDU001031105.1	6.86064857999758e-300	0.594252772209828	0.771	0	6.79821667791961e-295	AMEX60DDU001031105.1	AER
AMEX60DDU001020132.1	6.86067368010103e-300	0.677797276773302	0.771	0	6.79824154961211e-295	AMEX60DDU001020132.1	AER
AMEX60DDU001035878.1	2.00562440513374e-297	0.8310720009619	0.777	0.001	1.98737322304702e-292	AMEX60DDU001035878.1	AER
CR1-3.5	2.90133138084904e-297	0.698204512362957	0.764	0	2.87492926528331e-292	CR1-3.5	AER
RPS19	5.19232607133982e-297	0.593235281951424	0.771	0.001	5.14507590409063e-292	RPS19	AER
LOC115090287.16	1.21888858038235e-294	0.736249571464349	0.758	0	1.20779669430087e-289	LOC115090287.16	AER
AMEX60DDU001035517.1	7.88888725445768e-292	0.71065721755233	0.815	0.006	7.81709838044211e-287	AMEX60DDU001035517.1	AER
RPL36A.1	3.98215408703471e-291	0.810031880038621	0.796	0.005	3.94591648484269e-286	RPL36A.1	AER
COPA	2.10913818746135e-289	0.558737489925342	0.745	0	2.08994502995545e-284	COPA	AER
AMEX60DDU001018277.1	3.18638336213773e-281	1.19622270490111	0.955	0.033	3.15738727354228e-276	AMEX60DDU001018277.1	AER
AMEX60DDU001030432.1	9.33427082895191e-274	0.589422687548339	0.707	0	9.24932896440844e-269	AMEX60DDU001030432.1	AER
LOC115458170.2	5.68499861888528e-266	0.56739268031283	0.688	0	5.63326513145343e-261	LOC115458170.2	AER
HPGD	2.41880762530893e-264	0.74105176509932	0.777	0.01	2.39679647591862e-259	HPGD	AER
AMEX60DDU001000495.1	2.20779066945173e-263	0.513510377862628	0.682	0	2.18769977435972e-258	AMEX60DDU001000495.1	AER
AMEX60DDU001022139.1	2.20779862171979e-263	0.496253048028322	0.682	0	2.18770765426214e-258	AMEX60DDU001022139.1	AER
RPL37A	2.64025896203604e-263	0.521812681849238	0.688	0.001	2.61623260548151e-258	RPL37A	AER
RPS25P6.1	3.40381602348366e-263	0.548948717950898	0.701	0.002	3.37284129766996e-258	RPS25P6.1	AER
AMEX60DDU001034858.1	8.51849828976061e-261	0.492702428913068	0.675	0	8.44097995532379e-256	AMEX60DDU001034858.1	AER
SEMA3A	3.99084236602342e-258	0.941920078227817	0.783	0.013	3.9545257004926e-253	SEMA3A	AER
AMEX60DDU001038228.1	1.24371722330315e-255	0.77932615902335	0.662	0	1.23239939657109e-250	AMEX60DDU001038228.1	AER
PARPI-0019417	6.85160014730503e-253	0.51508439132334	0.662	0.001	6.78925058596456e-248	PARPI-0019417	AER
UY3-18610.8	1.76941372144682e-250	0.47072874896993	0.65	0	1.75331205658165e-245	UY3-18610.8	AER
UNC5B	3.22549263113083e-250	0.775286668018617	0.732	0.008	3.19614064818754e-245	UNC5B	AER
RACK1.2	6.64382673174661e-250	0.51675415554929	0.669	0.002	6.58336790848772e-245	RACK1.2	AER
RAP2B	6.60961915234883e-248	0.548740281308666	0.643	0	6.54947161806245e-243	RAP2B	AER
AMEX60DDU001032937.3	6.60961915234883e-248	0.45249494093359	0.643	0	6.54947161806245e-243	AMEX60DDU001032937.3	AER
AMEX60DD301035983.1	6.69531182927502e-248	0.497579097556408	0.65	0.001	6.63438449162861e-243	AMEX60DD301035983.1	AER
AMEX60DD201043053.2	6.01854219235111e-246	0.709710548580791	0.783	0.016	5.96377345840072e-241	AMEX60DD201043053.2	AER
AMEX60DDU001025827.1	2.45312964505745e-245	0.494496980968177	0.637	0	2.43080616528743e-240	AMEX60DDU001025827.1	AER
AMEX60DDU001025565.1	2.45312964505745e-245	0.477189174037748	0.637	0	2.43080616528743e-240	AMEX60DDU001025565.1	AER
HNRNPA1.5	6.11661536151176e-244	0.489103176315428	0.669	0.003	6.06095416172201e-239	HNRNPA1.5	AER
AMEX60DD301020556.1	2.19042927424128e-242	0.477230078003147	0.65	0.002	2.17049636784568e-237	AMEX60DD301020556.1	AER
AMEX60DDU001020131.1	2.46413165030254e-242	0.514570029539704	0.65	0.002	2.44170805228478e-237	AMEX60DDU001020131.1	AER
AMEX60DDU001025812.1	7.34829168087635e-240	0.569674760668618	0.631	0.001	7.28142222658037e-235	AMEX60DDU001025812.1	AER
AMEX60DDU001016798.1	7.85423588525279e-240	0.437076532257021	0.631	0.001	7.78276233869699e-235	AMEX60DDU001016798.1	AER
AMEX60DD201018045.1	1.6764035658544e-237	0.438887191718391	0.624	0.001	1.66114829340513e-232	AMEX60DD201018045.1	AER
CPAMD8	2.38041627099537e-237	0.640954892394709	0.643	0.002	2.35875448292931e-232	CPAMD8	AER
EOD39-6177	6.61619266552198e-237	0.492556255742004	0.643	0.002	6.55598531226573e-232	EOD39-6177	AER
COL2A1	3.13609465872903e-235	1.64324986351661	1	0.076	3.10755619733459e-230	COL2A1	AER
RTL1.106	8.33517300237247e-235	0.454342519365002	0.618	0.001	8.25932292805088e-230	RTL1.106	AER
EEF1A1.11	8.76432989683377e-234	0.45587052446545	0.669	0.005	8.68457449477258e-229	EEF1A1.11	AER
RPS14.2	3.51135759812557e-233	0.784359547773603	0.866	0.035	3.47940424398262e-228	RPS14.2	AER
AMEX60DDU001041665.1	1.56871148190976e-232	0.553045705161589	0.605	0	1.55443620742438e-227	AMEX60DDU001041665.1	AER
AMEX60DDU001018060.1	1.56871148190976e-232	0.436956488476023	0.605	0	1.55443620742438e-227	AMEX60DDU001018060.1	AER
AMEX60DDU001012016.1	5.60212651336262e-230	0.386890177015697	0.599	0	5.55114716209102e-225	AMEX60DDU001012016.1	AER
AMEX60DDU001035911.1	1.98785481043007e-227	0.380042064497435	0.592	0	1.96976533165516e-222	AMEX60DDU001035911.1	AER
AMEX60DDU001023082.1	1.98785481043007e-227	0.419877911883387	0.592	0	1.96976533165516e-222	AMEX60DDU001023082.1	AER
AMEX60DDU001001743.1	5.60574245172865e-222	0.420330341593135	0.586	0.001	5.55473019541792e-217	AMEX60DDU001001743.1	AER
RPS11.1	5.75353307435265e-220	0.495079426068715	0.688	0.011	5.70117592337604e-215	RPS11.1	AER
AMEX60DDU001006283.1	1.75246151283253e-219	0.467203763010564	0.58	0.001	1.73651411306575e-214	AMEX60DDU001006283.1	AER
AMEX60DDU001031796.1	7.99605763626663e-219	0.396915288796194	0.592	0.002	7.9232935117766e-214	AMEX60DDU001031796.1	AER
DR999-PMT21178.1	2.15269277801422e-218	1.06161864631804	0.796	0.031	2.13310327373429e-213	DR999-PMT21178.1	AER
RPL24	2.3594723741345e-218	0.695698288998073	0.834	0.035	2.33800117552987e-213	RPL24	AER
DPX16-10820.1	2.95682842143739e-217	0.365890765562827	0.567	0	2.92992128280231e-212	DPX16-10820.1	AER
RPL17	1.36287272578359e-216	0.432302758258466	0.637	0.007	1.35047058397896e-211	RPL17	AER
KRT15.2	2.29939976584463e-215	1.07157895380378	0.745	0.023	2.27847522797544e-210	KRT15.2	AER
LOC108703992.1	1.01632120967139e-214	0.382412668090455	0.561	0	1.00707268666338e-209	LOC108703992.1	AER
AMEX60DDU001031104.1	1.01632120967139e-214	0.381438871085792	0.561	0	1.00707268666338e-209	AMEX60DDU001031104.1	AER
RPL17.2	2.42121398647758e-214	0.454303877028784	0.618	0.005	2.39918093920064e-209	RPL17.2	AER
RPL18.2	3.47121202401644e-212	0.364676072517617	0.554	0	3.43962399459789e-207	RPL18.2	AER
AMEX60DDU001009721.1	3.47121202401644e-212	0.390407477697664	0.554	0	3.43962399459789e-207	AMEX60DDU001009721.1	AER
IER5	4.7368645652005e-209	0.373875783077053	0.561	0.001	4.69375909765718e-204	IER5	AER
AMEX60DDU001022973.1	3.97312400511087e-207	0.357391078977504	0.541	0	3.93696857666436e-202	AMEX60DDU001022973.1	AER
AMEX60DDU001012710.1	3.97312400511087e-207	0.468399673633806	0.541	0	3.93696857666436e-202	AMEX60DDU001012710.1	AER
AMEX60DD201017201.4	8.21389666044432e-207	0.528681085934791	0.675	0.014	8.13915020083428e-202	AMEX60DD201017201.4	AER
TPT1	7.16550562012991e-206	0.755955121135986	0.834	0.042	7.10029951898673e-201	TPT1	AER
RPS12.6	2.24264735368626e-205	0.576322148520536	0.745	0.025	2.22223926276772e-200	RPS12.6	AER
PRPF3.1	1.3314976391445e-204	0.358580146712548	0.535	0	1.31938101062828e-199	PRPF3.1	AER
CYP26C1	1.3314976391445e-204	0.43690276097125	0.535	0	1.31938101062828e-199	CYP26C1	AER
HOXA10	1.14693044039852e-203	0.58152916243337	0.739	0.024	1.1364933733909e-198	HOXA10	AER
ATP5MC2.3	1.20281614279344e-203	0.395121185993194	0.567	0.003	1.19187051589402e-198	ATP5MC2.3	AER
AMEX60DDU001041204.1	4.43413468547938e-202	0.362163263315267	0.529	0	4.39378405984152e-197	AMEX60DDU001041204.1	AER
RPL23A.2	1.5197760263246e-200	0.493275295947784	0.65	0.013	1.50594606448505e-195	RPL23A.2	AER
GSONMT00055939001.8	6.51446783459574e-200	0.972418498407359	0.962	0.08	6.45518617730091e-195	GSONMT00055939001.8	AER
AMEX60DDU001033887.1	1.46737576172343e-199	0.362588070264401	0.522	0	1.45402264229175e-194	AMEX60DDU001033887.1	AER
AMEX60DDU001031344.2	1.46737576172343e-199	0.358840967011437	0.522	0	1.45402264229175e-194	AMEX60DDU001031344.2	AER
AMEX60DDU001033757.1	1.24369282885412e-198	0.454593381633961	0.567	0.004	1.23237522411155e-193	AMEX60DDU001033757.1	AER
RPL36.2	4.82549186610738e-197	0.362604061148018	0.516	0	4.78157989012581e-192	RPL36.2	AER
VWA2	1.06413222315537e-196	1.08094894776343	0.924	0.074	1.05444861992466e-191	VWA2	AER
AMEX60DDU001038243.6	1.57693376357526e-194	0.449330413313663	0.51	0	1.56258366632673e-189	AMEX60DDU001038243.6	AER
AMEX60DDU001016236.1	1.57693376357526e-194	0.404120964125647	0.51	0	1.56258366632673e-189	AMEX60DDU001016236.1	AER
AMEX60DD201052664.1	7.17759097305036e-193	1.67322318278009	1	0.126	7.1122748951956e-188	AMEX60DD201052664.1	AER
NACA.1	5.12107092472213e-192	0.321039352811841	0.503	0	5.07446917930716e-187	NACA.1	AER
AMEX60DDU001013125.1	5.12107092472213e-192	0.340470402907925	0.503	0	5.07446917930716e-187	AMEX60DDU001013125.1	AER
AMEX60DDU001011274.4	5.12107092472213e-192	0.370638042426606	0.503	0	5.07446917930716e-187	AMEX60DDU001011274.4	AER
AMEX60DDU001016587.1	1.65267512361647e-189	0.332122556083614	0.497	0	1.63763577999156e-184	AMEX60DDU001016587.1	AER
HSP90B1.1	5.83552377342804e-189	0.328807460288424	0.516	0.002	5.78242050708984e-184	HSP90B1.1	AER
HSPA9	1.99541877160325e-186	0.412368426986963	0.592	0.01	1.97726046078166e-181	HSPA9	AER
AMEX60DDU001007428.1	5.35036079611622e-182	0.318085877566405	0.478	0	5.30167251287156e-177	AMEX60DDU001007428.1	AER
LOC106538964.2	1.9312900744806e-181	0.667691726936711	0.828	0.05	1.91371533480283e-176	LOC106538964.2	AER
AMEX60DDU001005074.1	1.68409541687135e-179	0.319979904083257	0.471	0	1.66877014857782e-174	AMEX60DDU001005074.1	AER
LOC115097463.18	6.87803720066066e-179	0.31772367411688	0.484	0.001	6.81544706213465e-174	LOC115097463.18	AER
AMEX60DDU001040097.1	1.63770570049927e-174	0.331337379631816	0.459	0	1.62280257862473e-169	AMEX60DDU001040097.1	AER
AMEX60DD301012609.6	4.65948765459939e-174	0.369773888047167	0.522	0.006	4.61708631694254e-169	AMEX60DD301012609.6	AER
AMEX60DD201011424.1	1.21827207893163e-172	0.458971166741236	0.618	0.018	1.20718580301335e-167	AMEX60DD201011424.1	AER
AMEX60DDU001014846.1	5.05973916122684e-172	0.282532692441152	0.452	0	5.01369553485967e-167	AMEX60DDU001014846.1	AER
AMEX60DDU001021046.1	5.05975667546728e-172	0.309741603754188	0.452	0	5.01371288972052e-167	AMEX60DDU001021046.1	AER
AMEX60DDU001026684.1	5.05975667546728e-172	0.345277871699477	0.452	0	5.01371288972052e-167	AMEX60DDU001026684.1	AER
AMEX60DD201032404.1	3.09853330304184e-171	0.371095490319912	0.471	0.002	3.07033664998416e-166	AMEX60DD201032404.1	AER
RPL18	5.85141091030729e-171	0.291744164952305	0.478	0.002	5.79816307102349e-166	RPL18	AER
MSANTD3-TMEFF1	1.88485922478376e-170	0.553138475280474	0.586	0.015	1.86770700583823e-165	MSANTD3-TMEFF1	AER
RPS14	4.1319496506973e-169	0.341184094696291	0.51	0.006	4.09434890887595e-164	RPS14	AER
ATF1.1	6.13824228838211e-169	0.369613135833348	0.471	0.002	6.08238428355783e-164	ATF1.1	AER
APOC1	1.26871322089423e-168	0.851056183907807	0.79	0.053	1.25716793058409e-163	APOC1	AER
FREM2.1	6.42404956500956e-168	0.607573753490027	0.777	0.046	6.36559071396798e-163	FREM2.1	AER
AMEX60DDU001041555.1	1.43779846367925e-164	0.261741928885353	0.433	0	1.42471449765977e-159	AMEX60DDU001041555.1	AER
AMEX60DDU001026797.1	1.43779846367925e-164	0.269662194338015	0.433	0	1.42471449765977e-159	AMEX60DDU001026797.1	AER
RPL36.3	1.20779336884885e-163	0.327406906606968	0.478	0.004	1.19680244919233e-158	RPL36.3	AER
LOC112547415.191	1.55571018991376e-163	0.317241830156453	0.471	0.004	1.54155322718555e-158	LOC112547415.191	AER
RPS13.2	5.07759424477111e-163	0.371825064899551	0.548	0.012	5.03138813714369e-158	RPS13.2	AER
AMEX60DDU001003741.1	1.58120440237095e-161	0.307681362801927	0.49	0.006	1.56681544230937e-156	AMEX60DDU001003741.1	AER
AMEX60DDU001041154.1	1.2982522754205e-159	0.261051378246308	0.42	0	1.28643817971418e-154	AMEX60DDU001041154.1	AER
RPL36A	3.25663219950682e-158	0.639439735290213	0.79	0.06	3.22699684649131e-153	RPL36A	AER
IGF2BP1	2.52840831973567e-156	0.478621389671973	0.701	0.037	2.50539980402608e-151	IGF2BP1	AER
AMEX60DDU001013255.2	1.1438094604122e-154	0.262929373303989	0.408	0	1.13340079432245e-149	AMEX60DDU001013255.2	AER
AMEX60DDU001021603.1	2.9388857921391e-154	0.250528797093531	0.414	0.001	2.91214193143064e-149	AMEX60DDU001021603.1	AER
AMEX60DDU001021062.1	7.87802605714976e-154	0.332011802684621	0.452	0.004	7.8063360200297e-149	AMEX60DDU001021062.1	AER
OPTC	1.591912320163e-153	0.298061088207276	0.439	0.003	1.57742591804952e-148	OPTC	AER
