"","Frog_NF50|AER","Frog_NF50|BasalEctoderm","Frog_NF51|AER","Frog_NF51|BasalEctoderm","Frog_NF52|AER","Frog_NF52|BasalEctoderm","Frog_NF54|AER","Frog_NF54|BasalEctoderm","Axolotl_ST50|AER","Axolotl_ST50|BasalEctoderm","Axolotl_ST52|AER","Axolotl_ST52|BasalEctoderm","Axolotl_ST54|AER","Axolotl_ST54|BasalEctoderm","Mouse_E105|AER","Mouse_E105|BasalEctoderm","Mouse_E115|AER","Mouse_E115|BasalEctoderm","Mouse_E125|AER","Mouse_E125|BasalEctoderm","Mouse_E95|AER","Mouse_E95|BasalEctoderm","Human_CS13|AER","Human_CS13|BasalEctoderm","Chicken_E45|AER","Chicken_E45|BasalEctoderm"
"Frog_NF50|AER",0.99896229678312,0.00103770321687992,0.998502745716196,0.00149725428380372,0.999379412782062,0.000620587217938025,0.999012051659691,0.000987948340309416,0.998899049960152,0.00110095003984783,0.99696520310923,0.00303479689077057,0.998676569052863,0.00132343094713642,0.998330066489873,0.00166993351012723,0.998809693368873,0.00119030663112703,0.998656898602382,0.00134310139761766,0.996110276647237,0.00388972335276281,0.994211952416454,0.00578804758354579,0.998495625772458,0.00150437422754214
"Frog_NF50|BasalEctoderm",0.00103770321687992,0.99896229678312,0.00149725428380379,0.998502745716196,0.000620587217938015,0.999379412782062,0.000987948340309472,0.999012051659691,0.00110095003984757,0.998899049960152,0.00303479689077049,0.996965203109229,0.00132343094713653,0.998676569052864,0.00166993351012717,0.998330066489873,0.00119030663112705,0.998809693368873,0.0013431013976176,0.998656898602382,0.00388972335276278,0.996110276647237,0.00578804758354583,0.994211952416454,0.00150437422754216,0.998495625772458
"Frog_NF51|AER",0.998502745716196,0.00149725428380379,0.998097966467853,0.00190203353214672,0.99895619832864,0.00104380167136002,0.998340578163316,0.0016594218366837,0.997880548843859,0.00211945115614113,0.996074768129552,0.00392523187044788,0.997899925678547,0.00210007432145289,0.997776475357907,0.00222352464209281,0.998168412154229,0.00183158784577091,0.997934102166835,0.00206589783316466,0.995621312418603,0.0043786875813971,0.993681324621344,0.00631867537865575,0.998059405657697,0.00194059434230266
"Frog_NF51|BasalEctoderm",0.00149725428380372,0.998502745716196,0.00190203353214672,0.998097966467853,0.00104380167136004,0.99895619832864,0.00165942183668377,0.998340578163316,0.00211945115614097,0.997880548843859,0.00392523187044776,0.996074768129552,0.00210007432145298,0.997899925678547,0.00222352464209278,0.997776475357907,0.00183158784577091,0.998168412154229,0.00206589783316471,0.997934102166835,0.00437868758139719,0.995621312418603,0.00631867537865581,0.993681324621344,0.00194059434230268,0.998059405657698
"Frog_NF52|AER",0.999379412782062,0.000620587217938015,0.99895619832864,0.00104380167136004,1,0,0.999594347708733,0.000405652291267003,0.999450664965964,0.000549335034036371,0.997712839568754,0.00228716043124615,0.999145094198466,0.000854905801534068,0.99887973090018,0.00112026909981983,0.999656341642229,0.000343658357771261,0.999210590230126,0.000789409769874186,0.996788883642536,0.00321111635746362,0.994626346256903,0.00537365374309658,0.998862964461154,0.00113703553884577
"Frog_NF52|BasalEctoderm",0.000620587217938025,0.999379412782062,0.00104380167136002,0.99895619832864,0,1,0.000405652291267088,0.999594347708733,0.000549335034036081,0.999450664965964,0.00228716043124618,0.997712839568754,0.000854905801533952,0.999145094198466,0.00112026909981986,0.99887973090018,0.00034365835777117,0.999656341642229,0.000789409769874169,0.999210590230126,0.00321111635746368,0.996788883642536,0.00537365374309651,0.994626346256903,0.00113703553884585,0.998862964461154
"Frog_NF54|AER",0.999012051659691,0.000987948340309472,0.998340578163316,0.00165942183668377,0.999594347708733,0.000405652291267088,0.999264164827079,0.000735835172921254,0.998322652977893,0.00167734702210764,0.995604570010491,0.0043954299895086,0.997988240681804,0.00201175931819631,0.998724101855606,0.00127589814439386,0.999079949276912,0.000920050723087909,0.998983758791934,0.00101624120806577,0.995666341478574,0.00433365852142634,0.994079928157314,0.0059200718426859,0.997581278615518,0.00241872138448151
"Frog_NF54|BasalEctoderm",0.000987948340309416,0.999012051659691,0.0016594218366837,0.998340578163316,0.000405652291267003,0.999594347708733,0.000735835172921254,0.999264164827079,0.0016773470221074,0.998322652977892,0.00439542998950864,0.995604570010491,0.00201175931819626,0.997988240681804,0.00127589814439386,0.998724101855606,0.000920050723087923,0.999079949276912,0.00101624120806581,0.998983758791934,0.00433365852142634,0.995666341478574,0.00592007184268588,0.994079928157314,0.00241872138448154,0.997581278615518
"Axolotl_ST50|AER",0.998899049960152,0.00110095003984757,0.997880548843859,0.00211945115614097,0.999450664965964,0.000549335034036081,0.998322652977893,0.0016773470221074,0.996709173179761,0.0032908268202385,0.995066720784915,0.00493327921508491,0.997502507516943,0.00249749248305739,0.998409508325475,0.00159049167452525,0.999732746969055,0.000267253030944675,0.999391278093104,0.000608721906896292,0.994749912396971,0.00525008760302877,0.993266542355823,0.00673345764417728,0.997575995698649,0.00242400430135102
"Axolotl_ST50|BasalEctoderm",0.00110095003984783,0.998899049960152,0.00211945115614113,0.997880548843859,0.000549335034036371,0.999450664965964,0.00167734702210764,0.998322652977892,0.0032908268202385,0.996709173179762,0.00493327921508506,0.995066720784915,0.00249749248305718,0.997502507516943,0.00159049167452527,0.998409508325475,0.000267253030944915,0.999732746969055,0.000608721906896549,0.999391278093104,0.00525008760302901,0.994749912396971,0.00673345764417723,0.993266542355823,0.00242400430135096,0.997575995698649
