"","Frog_NF50|AER","Frog_NF50|BasalEctoderm","Frog_NF51|AER","Frog_NF51|BasalEctoderm","Frog_NF52|AER","Frog_NF52|BasalEctoderm","Frog_NF54|AER","Frog_NF54|BasalEctoderm","Axolotl_ST50|AER","Axolotl_ST50|BasalEctoderm","Axolotl_ST52|AER","Axolotl_ST52|BasalEctoderm","Axolotl_ST54|AER","Axolotl_ST54|BasalEctoderm","Mouse_E105|AER","Mouse_E105|BasalEctoderm","Mouse_E115|AER","Mouse_E115|BasalEctoderm","Mouse_E125|AER","Mouse_E125|BasalEctoderm","Mouse_E95|AER","Mouse_E95|BasalEctoderm","Human_CS13|AER","Human_CS13|BasalEctoderm","Chicken_E45|AER","Chicken_E45|BasalEctoderm"
"Frog_NF50|AER",0.988890471442815,0.0111095285571856,0.981008449315089,0.0189915506849105,0.965110124210229,0.0348898757897712,0.93959105199556,0.0604089480044398,0.923881061254655,0.0761189387453451,0.919902371669993,0.0800976283300077,0.900648108692177,0.0993518913078231,0.931780440989955,0.0682195590100447,0.890603330753692,0.109396669246308,0.903421677900213,0.0965783220997872,0.856433809218313,0.143566190781687,0.755981914090908,0.244018085909092,0.786218570234304,0.213781429765696
"Frog_NF50|BasalEctoderm",0.0111095285571856,0.988890471442814,0.0189915506849104,0.98100844931509,0.0348898757897711,0.965110124210229,0.0604089480044396,0.93959105199556,0.0761189387453453,0.923881061254655,0.0800976283300077,0.919902371669992,0.0993518913078232,0.900648108692177,0.0682195590100447,0.931780440989955,0.109396669246308,0.890603330753693,0.0965783220997872,0.903421677900213,0.143566190781687,0.856433809218313,0.244018085909092,0.755981914090908,0.213781429765696,0.786218570234304
"Frog_NF51|AER",0.981008449315089,0.0189915506849104,0.993824261494388,0.00617573850561216,0.973792748885367,0.0262072511146325,0.950330495151446,0.0496695048485536,0.940975068177186,0.0590249318228135,0.923372826635544,0.0766271733644556,0.915639372423321,0.0843606275766791,0.918308989370103,0.0816910106298973,0.869539464506363,0.130460535493637,0.901117959056702,0.0988820409432979,0.861665791890306,0.138334208109694,0.728134665625502,0.271865334374498,0.827946004981511,0.172053995018489
"Frog_NF51|BasalEctoderm",0.0189915506849105,0.98100844931509,0.00617573850561216,0.993824261494388,0.0262072511146326,0.973792748885367,0.0496695048485535,0.950330495151446,0.0590249318228135,0.940975068177187,0.0766271733644555,0.923372826635544,0.0843606275766791,0.91563937242332,0.0816910106298974,0.918308989370103,0.130460535493637,0.869539464506363,0.0988820409432979,0.901117959056702,0.138334208109694,0.861665791890306,0.271865334374498,0.728134665625502,0.172053995018489,0.827946004981511
"Frog_NF52|AER",0.965110124210229,0.0348898757897711,0.973792748885367,0.0262072511146326,0.989736070381232,0.0102639296187683,0.962972459858141,0.0370275401418585,0.941816825844933,0.0581831741550669,0.943324478226127,0.0566755217738736,0.919661003436525,0.0803389965634753,0.923645234853472,0.0763547651465278,0.93277369877064,0.0672263012293602,0.932622917960793,0.0673770820392066,0.838801403350146,0.161198596649854,0.775137036919878,0.224862963080122,0.784611343674273,0.215388656325727
"Frog_NF52|BasalEctoderm",0.0348898757897712,0.965110124210229,0.0262072511146325,0.973792748885367,0.0102639296187683,0.989736070381232,0.0370275401418587,0.962972459858142,0.0581831741550669,0.941816825844933,0.0566755217738736,0.943324478226126,0.0803389965634753,0.919661003436524,0.0763547651465277,0.923645234853472,0.0672263012293602,0.93277369877064,0.0673770820392067,0.932622917960793,0.161198596649854,0.838801403350146,0.224862963080122,0.775137036919878,0.215388656325727,0.784611343674273
"Frog_NF54|AER",0.93959105199556,0.0604089480044396,0.950330495151446,0.0496695048485535,0.962972459858141,0.0370275401418587,0.989698307579102,0.0103016924208978,0.928689066203675,0.0713109337963253,0.929349325848723,0.0706506741512766,0.919927138774902,0.0800728612250978,0.896558393776937,0.103441606223063,0.921657598615808,0.0783424013841918,0.923847847871598,0.0761521521284024,0.815076852046077,0.184923147953923,0.702586243877803,0.297413756122197,0.823992810620963,0.176007189379037
"Frog_NF54|BasalEctoderm",0.0604089480044398,0.93959105199556,0.0496695048485536,0.950330495151446,0.0370275401418585,0.962972459858142,0.0103016924208978,0.989698307579102,0.0713109337963254,0.928689066203675,0.0706506741512767,0.929349325848723,0.0800728612250979,0.919927138774902,0.103441606223063,0.896558393776937,0.0783424013841918,0.921657598615808,0.0761521521284025,0.923847847871598,0.184923147953923,0.815076852046077,0.297413756122197,0.702586243877803,0.176007189379037,0.823992810620963
"Axolotl_ST50|AER",0.923881061254655,0.0761189387453453,0.940975068177186,0.0590249318228135,0.941816825844933,0.0581831741550669,0.928689066203675,0.0713109337963254,0.99958864664747,0.000411353352530021,0.97794772486975,0.0220522751302504,0.947973988933931,0.0520260110660687,0.752101222773492,0.247898777226508,0.860231629425341,0.139768370574659,0.901236491703023,0.0987635082969769,0.716227889757302,0.283772110242698,0.680649130902938,0.319350869097062,0.719719484925993,0.280280515074007
"Axolotl_ST50|BasalEctoderm",0.0761189387453451,0.923881061254655,0.0590249318228135,0.940975068177187,0.0581831741550669,0.941816825844933,0.0713109337963253,0.928689066203675,0.000411353352530021,0.99958864664747,0.0220522751302506,0.977947724869749,0.0520260110660687,0.947973988933931,0.247898777226508,0.752101222773492,0.139768370574659,0.860231629425341,0.098763508296977,0.901236491703023,0.283772110242699,0.716227889757301,0.319350869097062,0.680649130902938,0.280280515074007,0.719719484925993
