Gene.name	Mouse.gene.name	Chicken.gene.name
MT-ND1	mt-Nd1	ND1
MT-ND2	mt-Nd2	MT-ND2
MT-CO1	mt-Co1	MT-CO1
MT-CO2	mt-Co2	COII
MT-ATP6	mt-Atp6	ATP6
MT-CO3	mt-Co3	COX3
MT-ND3	mt-Nd3	ND3
MT-ND4	mt-Nd4	ND4
MT-ND5	mt-Nd5	ND5
MT-ND6	mt-Nd6	ND6
MT-CYB	mt-Cytb	CYTB
DAZ4	Dazl	DAZL
DDX3Y	Ddx3y	DDX3X
TMSB4Y	Tmsb4x	TMSB4X
COLEC12	Colec12	COLEC12
CHMP1B	Chmp1b	CHMP1B
IMPA2	Impa2	IMPA2
DLGAP1	Dlgap1	DLGAP1
RAB31	Rab31	RAB31
YES1	Yes1	YES1
MAPRE2	Mapre2	MAPRE2
ADRA1D	Adra1d	ADRA1D
RSPO4	Rspo4	RSPO4
ANGPT4	Angpt4	ANGPT4
PSMG2	Psmg2	PSMG2
SIRPG	Gm9733	SIRPA
SHLD1	Shld1	SHLD1
TMX4	Tmx4	TMX4
SLX4IP	Slx4ip	SLX4IP
MC2R	Mc2r	MC2R
CHGB	Chgb	CHGB
NKX2-2	Nkx2-2	NKX2-2
ATRN	Atrn	ATRN
KLHL14	Klhl14	KLHL14
TMPRSS15	Tmprss15	TMPRSS15
GATD3B	Gatd3a	GATD3A
BMP2	Bmp2	BMP2
CXADR	Gm1123	CXADR
NDUFV2	Ndufv2	NDUFV2
SIK1B	Sik1	SIK1
SMOX	Smox	SMOX
MPPE1	Mppe1	MPPE1
RWDD2B	Rwdd2b	RWDD2B
BTBD3	Btbd3	BTBD3
NKX2-4	Nkx2-4	NKX2-4
TMEM230	Tmem230	TMEM230
URB1	Urb1	URB1
PCSK2	Pcsk2	PCSK2
JAM2	Jam2	JAM2
USP16	Usp16	USP16
CELF4	Celf4	CELF4
ISM1	Ism1	ISM1
ABHD12	Abhd12	ABHD12
CYYR1	Cyyr1	CYYR1
FLRT3	Flrt3	FLRT3
DONSON	Atp5o	DONSON
AKAIN1	Akain1	AKAIN1
DZANK1	Dzank1	DZANK1
RALBP1	Ralbp1	RALBP1
MRPS6	Mrps6	MRPS6
ACAA2	Acaa2	ACAA2
TRMT6	Trmt6	TRMT6
GART	Gart	GART
SYNDIG1	Syndig1	SYNDIG1
HAO1	Hao1	HAO1
SS18	Ss18	SS18
XRN2	Xrn2	XRN2
GPCPD1	Gpcpd1	GPCPD1
SNRPB2	Snrpb2	SNRPB2
CD93	Cd93	CD248
GINS1	Gins1	GINS1
CST7	Cst7	CST7
CHAF1B	Chaf1b	CHAF1B
APMAP	Apmap	APMAP
BFSP1	Bfsp1	BFSP1
SCAF4	Scaf4	SCAF4
CRLS1	Crls1	CRLS1
C18orf25	8030462N17Rik	C18orf25
REM1	Rem1	REM1
CCT8	Cct8	CCT8
DSTN	Dstn	DSTN
POLR3F	Polr3f	POLR3F
BPIFB2	Bpifb2	BPIFB2
STK35	Stk35	STK35
NCAM2	Ncam2	NCAM2
LRRN4	Lrrn4	LRRN4
SCRT2	Scrt2	SCRT2
ATP5F1A	Atp5a1	ATP5A1Z
NCOA6	Ncoa6	NCOA6
PI4KA	Pi4ka	PI4KA
LTN1	Ltn1	LTN1
APP	App	APP
KIF3B	Kif3b	KIF3B
RPRD1A	Rprd1a	RPRD1A
SPTLC3	Sptlc3	SPTLC3
RIT2	Rit2	RIT2
IL17RA	Il17ra	IL17RA
CEP76	Cep76	CEP76
ACSS2	Acss2	ACSS2
SYT4	Syt4	SYT4
RBBP8	Rbbp8	RBBP8
TMEM50B	Tmem50b	TMEM50B
CLDN8	Cldn8	CLDN8
TTC39C	Ttc39c	TTC39C
HUNK	Hunk	HUNK
C21orf91	D16Ertd472e	C1H21ORF91
MORC3	Morc3	MORC4
PAXBP1	Paxbp1	PAXBP1
RNF165	Rnf165	RNF165
TP53INP2	Trp53inp2	TP53INP2
JAG1	Jag1	JAG1
C21orf62	4932438H23Rik	C21orf62
PRKX	Prkx	PRKX
SLC23A2	Slc23a2	SLC23A2
ROCK1	Rock1	ROCK1
ITSN1	Itsn1	ITSN1
ST8SIA3	St8sia3	ST8SIA3Z
MMP11	Mmp11	MMP11
HAUS1	Haus1	HAUS1
ASMT	Asmt	ASMT
GTPBP6	Gtpbp6	GTPBP6
OSBP2	Osbp2	OSBP2
KCNS1	Kcns1	KCNS1
RNF152	Rnf152	RNF152
SEC23B	Sec23b	SEC23B
SHROOM2	Shroom2	SHROOM2
SMAD2	Smad2	SMAD2Z
CRLF2	Crlf2	CRLF2
FANCB	Fancb	FANCB
GRP	Grp	GRP
HCCS	Hccs	HCCS
TASP1	Tasp1	TASP1
TNFRSF11A	Tnfrsf11a	TNFRSF11A
NANP	Nanp	NANP
CTNNBL1	Ctnnbl1	CTNNBL1
VPREB3	Vpreb3	VPREB3
SRPX	Srpx	SRPX
ASCC2	Ascc2	ASCC2
GRPR	Grpr	GRPR
SOGA1	Soga1	SOGA1
MOSPD2	Mospd2	MOSPD2
ADA	Ada	ADA
TMEM47	Tmem47	TMEM47
KLHL34	Klhl34	KLHL34
SYN3	Syn3	SYN3
SMPX	Smpx	SMPX
CNKSR2	Cnksr2	CNKSR2
PPP1R16B	Ppp1r16b	PPP1R16B
GAREM1	Garem1	GAREM1
KIAA1755	D630003M21Rik	KIAA1755
PSTPIP2	Pstpip2	PSTPIP2
DRG1	Drg1	DRG1
ZBTB7C	Zbtb7c	ZBTB7C
CDC42EP1	Cdc42ep1	CDC42EP1
HORMAD2	Hormad2	HORMAD2
DHX35	Dhx35	DHX35
CLDN14	Cldn14	CLDN14
FBXO7	Fbxo7	FBXO7
KCNJ6	Kcnj6	KCNJ6
ZCCHC2	Zcchc2	ZCCHC2
NCF4	Ncf4	NCF4
TOX2	Tox2	TOX2
CHODL	Chodl	CHODL
PARP4	Parp4	PARP4
CPLX4	Cplx4	CPLX4
YBEY	Ybey	YBEY
RIOK3	Riok3	RIOK3
EYA2	Eya2	EYA2
VPS26C	Vps26c	VPS26C
SFI1	Sfi1	SFI1
OTC	Otc	OTC
FBXO15	Fbxo15	FBXO15
SYTL5	Sytl5	SYTL5
S100B	S100b	S100B
MIPEP	Mipep	MIPEP
TXLNG	Txlng	TXLNG
NPC1	Npc1	NPC1
GLRA2	Glra2	GLRA2
YWHAB	Ywhab	YWHAB
ADGRG2	Adgrg2	ADGRG2
ELMO2	Elmo2	ELMO2
BACH1	Bach1	BACH1
TTC3	Ttc3	TTC3
SEC11C	Sec11c	SEC11C
POMP	Pomp	POMP
NOVA1	Nova1	NOVA1
CDH7	Cdh7	CDH7
KATNAL1	Gm42791	KATNAL1
TPGS2	Tpgs2	TPGS2
MPHOSPH8	Mphosph8	MPHOSPH8
TGM2	Tgm2	TGM2
NUBPL	Nubpl	NUBPL
RIPOR3	Ripor3	RIPOR3
CCNA1	Ccna1	CCNA1
SNX6	Snx6	SNX32
SPATA2	Spata2	SPATA2
SLC2A10	Slc2a10	SLC2A10
TNRC6B	Tnrc6b	TNRC6B
KCNB1	Kcnb1	KCNB1
SERPINB10	Serpinb10	SERPINB10
KCNK15	Kcnk15	KCNK15
ETS2	Ets2	ETS2
CDH22	Cdh22	CDH22
USPL1	Uspl1	USPL1
MC4R	Mc4r	MC4R
RNF114	Rnf114	RNF114
TMX3	Tmx3	TMX3
FKBP3	Fkbp3	FKBP3
PIK3IP1	Pik3ip1	PIK3IP1
FOXA1	Foxa1	FOXA1
DIP2A	Dip2a	DIP2A
SLC25A21	Slc25a21	SLC25A21
SLC35C2	Slc35c2	SLC35C2
SLC35E4	Slc35e4	SLC35E4
RMC1	Rmc1	RMC1
TXNDC16	Txndc16	TXNDC16
RAI2	Rai2	RAI2
PLA2G6	Pla2g6	PLA2G6
CTPS2	Ctps2	CTPS2
PTGDR	Ptgdr	PTGDR
LRR1	Lrr1	LRR1
PDHA1	Pdha1	PDHA2
EDEM2	Edem2	EDEM2
FERMT2	Fermt2	FERMT2
COL6A2	Col6a2	COL6A2
WDR13	Wdr13	WDR13
CDH20	Cdh20	CDH20
MCAT	Mcat	MCAT
NCOA3	Ncoa3	NCOA3
LIMK2	Limk2	LIMK2
RP2	Rp2	RP2
HSPH1	Hsph1	HSPH1
CYBB	Cybb	CYBB
PTPN2	Ptpn2	PTPN2
MBTPS2	Mbtps2	MBTPS2
PCNT	Pcnt	PCNT
NR0B1	Nr0b1	NR0B1
SCML2	Scml2	SCML2
DTD2	Dtd2	DTD2
PSMC6	Psmc6	PSMC6
KCNJ15	Kcnj15	KCNJ15
REPS2	Reps2	REPS2
SLC5A1	Slc5a1	SLC5A1
MAFF	Maff	MAFF
CRYZL1	Cryzl1	CRYZL1
EFHC2	Efhc2	EFHC2
SEH1L	Seh1l	SEH1L
MN1	Mn1	MN1
MED14	Med14	MED14
TPTEP2-CSNK1E	Csnk1e	CSNK1E
MC3R	Mc3r	MC3R
PABPC1L	Pabpc1l	PABPC1L
CYTH4	Cyth4	CYTH4
N6AMT1	N6amt1	N6AMT1
LMAN1	Lman1	LMAN1L
CHST7	Chst7	CHST7
NRIP1	Nrip1	NRIP1
CLCN5	Clcn5	CLCN5
GPR137C	Gpr137c	GPR137C
PCNX4	Pcnx4	PCNX4
NUFIP1	Nufip1	NUFIP1
PHLPP1	Phlpp1	PHLPP1
KPNA3	Kpna3	KPNA3
AHCY	Ahcy	AHCY
FBLN1	Fbln1	FBLN1
CDH19	Cdh19	CDH19
MAGEB16	Mageb16	NSMCE3
SIX1	Six1	SIX1
PPP2R5E	Ppp2r5e	PPP2R5E
PTCHD1	Ptchd1	PTCHD1
CRYL1	Cryl1	CRYL1
SYAP1	Syap1	SYAP1
PREX1	Prex1	PREX1
ADAMTS5	Adamts5	ADAMTS5
CDKL5	Cdkl5	CDKL5
MIR99A	Mir99a	gga-mir-99a
MIRLET7C	Mirlet7c-1	MIRLET7C
MIR155	Mir155	gga-mir-155
LGALS2	Lgals2	LGALS2
PAN3	Pan3	PAN3
C2CD2	C2cd2	C2CD2
CBX7	Cbx7	CBX7
PNPLA3	Pnpla3	PNPLA3
UQCC1	Uqcc1	UQCC1
ZBTB21	Zbtb21	ZBTB21
STYX	Gm14698	STYX
CAB39L	Cab39l	CAB39L
L3HYPDH	L3hypdh	L3HYPDH
ERCC6L	Ercc6l	ERCC6L
